f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8
5.035185589886278734e+00,1.999444186620303432e+00,1.000000000000000000e+00,1.967316215060634832e+01,6.971169592917227931e+00,1.000010416606402401e+02,1.267727388469795002e+01,4.977753284636046160e+00,2.896556930419519116e+00,5.000011789098864483e+02,9.799963720763962272e-01
5.006100145521146239e+00,8.020039880972760216e+00,1.000000000000000000e+00,1.967318973364623602e+01,6.973074509581701719e+00,1.000000257825756478e+02,1.121197670088058551e+01,5.022877929041811740e+00,3.044841505720708330e+00,5.000001138910764666e+02,9.799995635225580148e-01
4.989547204009881831e+00,1.324309511807167361e+01,1.000000000000000000e+00,1.967318367402121027e+01,6.971205855445711030e+00,1.000005705765941286e+02,1.039537500051611829e+01,4.984389804295990878e+00,2.362555732047973756e+00,5.000000213613314486e+02,9.799931431978392560e-01
5.041804308883963692e+00,1.232961699010205248e+00,1.000000000000000000e+00,1.967337486108752742e+01,6.971133700804366562e+00,1.000000466970078179e+02,1.300844499319699388e+01,4.909100694152912503e+00,1.423361323098897069e+00,5.000001445672633622e+02,9.799993623067244641e-01
5.017373057289268523e+00,5.155043416157402802e+00,1.000000000000000000e+00,1.967421793224313475e+01,6.971135281827261387e+00,1.000005263788374492e+02,1.178511513648324183e+01,5.005085226976103030e+00,1.682483314532655205e+00,5.000001133621369149e+02,9.799984264190445549e-01
4.965982476457212691e+00,2.315426805290245227e+01,1.000000000000000000e+00,1.967337502807639993e+01,6.971639730975573102e+00,1.000002125913207607e+02,9.214057148716609191e+00,5.022658504343890939e+00,2.418728707410336298e+00,5.000005748297332957e+02,9.799930522523508936e-01
5.055974644427731590e+00,3.305755044228254058e-01,1.000000000000000000e+00,1.967448495064965641e+01,6.971147292846499255e+00,1.000002343984769908e+02,1.371468019716989062e+01,4.998904233092321014e+00,1.561074355229685295e+00,5.000000125126070429e+02,9.799998716631642681e-01
4.957162351107674780e+00,2.759722618575507980e+01,1.000000000000000000e+00,1.967418415803470566e+01,6.971136428904330273e+00,1.000000079068923924e+02,8.770479806564193126e+00,4.972701549466147952e+00,1.728167624874068942e+00,5.000001104413751136e+02,9.797955257169824739e-01
4.960996296600563404e+00,2.560303155985960188e+01,1.000000000000000000e+00,1.967313403015578643e+01,6.971741336336027217e+00,1.000016459865782679e+02,8.964720778992877115e+00,5.013556899411339529e+00,1.228685657752949467e+00,5.000000344937431578e+02,9.799999838824055010e-01
4.956601748991903200e+00,2.782659933089291826e+01,1.000000000000000000e+00,1.967316411551466260e+01,6.971135265336084075e+00,1.000009775662941820e+02,8.748646947789957551e+00,5.039750001388475731e+00,1.215800819796491350e+00,5.000000520991508779e+02,9.799998946979742165e-01
5.009534492905851621e+00,7.047395437323775269e+00,1.000000000000000000e+00,1.967335203395013110e+01,6.971514632189710348e+00,1.000000642770425259e+02,1.139266878873001332e+01,5.009121499216762530e+00,4.483381910288833927e-01,5.000001517244467095e+02,9.799973702169210155e-01
5.001403831615683693e+00,9.321392176910608285e+00,1.000000000000000000e+00,1.967337748562905730e+01,6.971143119106526953e+00,1.000000465204561664e+02,1.098808576007029636e+01,4.913509256007613679e+00,8.531156166726592271e-01,5.000011966302078008e+02,9.799988524721314764e-01
5.084312207428303587e+00,4.728205361734247325e-02,1.000000000000000000e+00,1.966348515706711808e+01,7.169675169254075442e+00,1.000006754310679611e+02,1.396233106126860690e+01,5.018364780115204482e+00,1.415831552383026715e+00,5.000000115489681320e+02,9.799996446974474917e-01
5.014417198130683317e+00,5.830860933093437559e+00,1.000000000000000000e+00,1.967412665100701119e+01,6.971135268134224461e+00,1.000005370743561883e+02,1.163748358634889790e+01,5.005483511293089549e+00,5.803131751828262130e-01,5.000001049811572216e+02,9.799973702169210155e-01
4.954105548076058518e+00,2.915527276708490589e+01,1.000000000000000000e+00,1.967313043698377584e+01,6.971192515914151677e+00,1.000005013790576527e+02,8.623621055886900422e+00,4.982751479787848048e+00,2.474085568485141717e+00,5.000000086359115699e+02,9.799994102284461661e-01
5.088866096760038538e+00,2.719662000100201912e-02,1.000000000000000000e+00,1.966077598233527013e+01,7.207808001731110359e+00,1.000000690599905795e+02,1.396670920865776466e+01,5.025618292600820602e+00,1.542080941788043669e+00,5.000000011822151009e+02,9.799988734075198993e-01
4.949573242955546348e+00,3.164403131980460770e+01,1.000000000000000000e+00,1.967320497131427004e+01,6.971135399566842139e+00,1.000010505588236356e+02,8.396950574008531731e+00,5.037502900938026329e+00,2.920402292189926641e+00,5.000005506843537546e+02,9.799972639484874071e-01
4.948958501731887338e+00,3.198928964124285912e+01,1.000000000000000000e+00,1.967320497131427004e+01,6.971135399566842139e+00,1.000010505588236356e+02,8.366224960868461125e+00,5.043274905077513637e+00,2.920402292189926641e+00,5.000005048921822777e+02,9.799972639484874071e-01
4.950381293640551128e+00,3.119847690777981342e+01,1.000000000000000000e+00,1.967358023205688511e+01,6.971138977550657145e+00,1.000000757680777355e+02,8.436834172088243378e+00,5.013469616335325618e+00,1.552029861527919996e+00,5.000001663704944690e+02,9.799989506881476853e-01
5.009096338970906004e+00,7.149752668463446703e+00,1.000000000000000000e+00,1.967325366957047450e+01,6.971132925782240974e+00,1.000000021643171664e+02,1.137323269448804552e+01,5.026269918673155424e+00,1.087369166021017186e+00,5.000003679898510995e+02,9.799988558329129074e-01
